date,inv_ch_1
1993-09-01,125370
1993-10-01,-18270
1993-11-01,121788
1993-12-01,8061
1994-01-01,59943
1994-02-01,112989
1994-03-01,25179
1994-04-01,48405
1994-05-01,280431
1994-06-01,105066
1994-07-01,153111
1994-08-01,131004
1994-09-01,45318
1994-10-01,180456
1994-11-01,146166
1994-12-01,194361
1995-01-01,234204
1995-02-01,95961
1995-03-01,167082
1995-04-01,148704
1995-05-01,60378
1995-06-01,144132
1995-07-01,97767
1995-08-01,17577
1995-09-01,100476
1995-10-01,157830
1995-11-01,23799
1995-12-01,-20232
1996-01-01,134256
1996-02-01,-15144
1996-03-01,-120636
1996-04-01,169308
1996-05-01,-3996
1996-06-01,-4356
1996-07-01,117078
1996-08-01,65490
1996-09-01,41079
1996-10-01,123948
1996-11-01,77502
1996-12-01,-2034
1997-01-01,170699
1997-02-01,143118
1997-03-01,34890
1997-04-01,252377
1997-05-01,171253
1997-06-01,202616
1997-07-01,103499
1997-08-01,96478
1997-09-01,209131
1997-10-01,205095
1997-11-01,150732
1997-12-01,184961
