Year,Quarter,PCEC,NR_STRUC_Q,equip_q,RES_Q,INVTCHANGE_Q,exports_q,imports_q,GOV_Q,GDPDEF
2022,2,17603.753,735.351,512.943,1225.801,116.971,3071.551,4093.663,4437.609,117.731
2022,3,17876.234,781.711,537.809,1163.853,73.821,3102.55,3988.447,4480.05,119.057
2022,4,18108.27,816.061,576.99,1105.148,162.858,3046.718,3897.402,4564.792,120.157
2023,1,18506.211,857.581,603.358,1084.017,20.894,3060.562,3874.21,4624.586,121.251
2023,2,18685.724,888.707,643.565,1091.949,0.01,2995.524,3799.003,4645.905,121.804
2023,3,18928.987,884.136,650.0029999999999,1125.342,89.189,3062.041,3843.132,4756.448,122.768
2023,4,19170.154,905.787,642.04,1144.657,56.688,3091.748,3882.899,4815.15,123.241
2024,1,19424.775,914.933,644.676,1180.671,21.404,3125.421,3966.989,4880.96,124.163
2024,2,19682.699,916.042,673.053,1182.582,96.792,3154.321,4061.192,4943.041,124.943
2024,3,19938.425,908.641,701.519,1179.749,75.97,3220.292,4163.975,5035.008,125.532
2024,4,20262.717,910.596,683.3720000000001,1201.318,15.474,3218.6,4149.659,5098.078,126.272
