date,value
2018-12-31,808.027
2019-03-31,803.435
2019-06-30,820.007
2019-09-30,838.245
2019-12-31,846.813
2020-03-31,879.905
2020-06-30,818.153
2020-09-30,950.156
2020-12-31,1034.205
2021-03-31,1086.498
2021-06-30,1114.865
2021-09-30,1145.132
2021-12-31,1183.47
2022-03-31,1220.405
2022-06-30,1225.801
2022-09-30,1163.853
2022-12-31,1105.148
2023-03-31,1084.017
2023-06-30,1091.949
2023-09-30,1125.342
2023-12-31,1144.657
2024-03-31,1180.671
2024-06-30,1182.582
2024-09-30,1179.749
2024-12-31,1201.318
