date,wages_g_1
1994-09-01,9839755
1994-10-01,9946879
1994-11-01,9937012
1994-12-01,9985934
1995-01-01,10053397
1995-02-01,10095008
1995-03-01,10135542
1995-04-01,10194161
1995-05-01,10179239
1995-06-01,10241492
1995-07-01,10302666
1995-08-01,10330113
1995-09-01,10383840
1995-10-01,10432549
1995-11-01,10465747
1995-12-01,10484114
1996-01-01,10486338
1996-02-01,10619185
1996-03-01,10671120
1996-04-01,10717042
1996-05-01,10784066
1996-06-01,10891404
1996-07-01,10897368
1996-08-01,10971753
1996-09-01,11049858
1996-10-01,11066984
1996-11-01,11143180
1996-12-01,11227792
1997-01-01,11277639
1997-02-01,11373814
1997-03-01,11458132
1997-04-01,11494325
1997-05-01,11549568
1997-06-01,11610282
1997-07-01,11665382
1997-08-01,11775069
1997-09-01,11833636
1997-10-01,11932155
1997-11-01,12060698
1997-12-01,12115384
1998-01-01,12210874
1998-02-01,12291429
1998-03-01,12357750
1998-04-01,12417873
1998-05-01,12512239
1998-06-01,12558251
1998-07-01,12609665
1998-08-01,12729982
1998-09-01,12778026
1998-10-01,12840629
1998-11-01,12932677
1998-12-01,12982659
1999-01-01,13082762
1999-02-01,13176586
1999-03-01,13191629
1999-04-01,13232484
1999-05-01,13290863
1999-06-01,13310174
1999-07-01,13396501
1999-08-01,13473888
1999-09-01,13536461
1999-10-01,13650056
1999-11-01,13776852
1999-12-01,13976149
2000-01-01,14247530
2000-02-01,14348408
2000-03-01,14387804
2000-04-01,14392196
2000-05-01,14317069
2000-06-01,14437478
2000-07-01,14632428
2000-08-01,14656360
2000-09-01,14721342
2000-10-01,14747436
2000-11-01,14734393
2000-12-01,14711420
