date,wages_g_1
1959-01-01,795181
1959-02-01,800080
1959-03-01,808999
1959-04-01,817125
1959-05-01,824874
1959-06-01,829907
1959-07-01,829113
1959-08-01,820615
1959-09-01,821267
1959-10-01,822848
1959-11-01,829906
1959-12-01,844991
1960-01-01,854380
1960-02-01,856270
1960-03-01,857303
1960-04-01,861399
1960-05-01,863500
1960-06-01,862081
1960-07-01,863301
1960-08-01,860698
1960-09-01,859905
1960-10-01,863134
1960-11-01,858473
1960-12-01,849457
1961-01-01,856454
1961-02-01,856011
1961-03-01,859228
1961-04-01,862989
1961-05-01,869430
1961-06-01,877726
1961-07-01,881674
1961-08-01,886266
1961-09-01,885630
1961-10-01,895762
1961-11-01,905963
1961-12-01,910852
1962-01-01,911230
1962-02-01,919024
1962-03-01,928064
1962-04-01,935830
1962-05-01,936865
1962-06-01,938895
1962-07-01,941924
1962-08-01,942568
1962-09-01,948886
1962-10-01,948515
1962-11-01,953854
1962-12-01,956584
1963-01-01,959582
1963-02-01,963808
1963-03-01,968806
1963-04-01,970572
1963-05-01,977208
1963-06-01,985316
1963-07-01,986493
1963-08-01,990773
1963-09-01,997545
1963-10-01,1003097
1963-11-01,1005819
1963-12-01,1014181
1964-01-01,1015470
1964-02-01,1028254
1964-03-01,1033830
1964-04-01,1041065
1964-05-01,1047191
1964-06-01,1052316
1964-07-01,1059657
1964-08-01,1068285
1964-09-01,1073961
1964-10-01,1070997
1964-11-01,1082290
1964-12-01,1095516
1965-01-01,1097718
1965-02-01,1103839
1965-03-01,1109819
1965-04-01,1113883
1965-05-01,1124063
1965-06-01,1128992
1965-07-01,1137210
1965-08-01,1144162
1965-09-01,1151974
1965-10-01,1167527
1965-11-01,1177645
1965-12-01,1187632
1966-01-01,1193678
1966-02-01,1206481
1966-03-01,1216545
1966-04-01,1228341
1966-05-01,1236548
1966-06-01,1249146
1966-07-01,1259887
1966-08-01,1269681
1966-09-01,1276490
1966-10-01,1286032
1966-11-01,1291558
1966-12-01,1294965
1967-01-01,1304908
1967-02-01,1303433
1967-03-01,1308742
1967-04-01,1313582
1967-05-01,1315564
1967-06-01,1326233
1967-07-01,1334464
1967-08-01,1346275
1967-09-01,1350392
1967-10-01,1355429
1967-11-01,1373327
1967-12-01,1385945
1968-01-01,1395187
1968-02-01,1414761
1968-03-01,1424288
1968-04-01,1433304
1968-05-01,1448453
1968-06-01,1460146
1968-07-01,1471659
1968-08-01,1482182
1968-09-01,1496053
1968-10-01,1507078
1968-11-01,1520490
1968-12-01,1529665
1969-01-01,1537744
1969-02-01,1545968
1969-03-01,1563846
1969-04-01,1574278
1969-05-01,1586975
1969-06-01,1601013
1969-07-01,1617794
1969-08-01,1632438
1969-09-01,1643305
1969-10-01,1652728
1969-11-01,1660190
1969-12-01,1669126
1970-01-01,1673671
1970-02-01,1680336
1970-03-01,1691080
1970-04-01,1684432
1970-05-01,1688755
1970-06-01,1697526
1970-07-01,1706921
1970-08-01,1710395
1970-09-01,1705427
1970-10-01,1696697
1970-11-01,1698524
1970-12-01,1716312
1971-01-01,1738835
1971-02-01,1746119
1971-03-01,1754348
1971-04-01,1763488
1971-05-01,1779692
1971-06-01,1784992
1971-07-01,1788933
1971-08-01,1799627
1971-09-01,1808335
1971-10-01,1814223
1971-11-01,1822044
1971-12-01,1849728
1972-01-01,1869450
1972-02-01,1893498
1972-03-01,1908416
1972-04-01,1918963
1972-05-01,1927906
1972-06-01,1940203
1972-07-01,1944946
1972-08-01,1965477
1972-09-01,1983957
1972-10-01,2012664
1972-11-01,2030298
1972-12-01,2051690
1973-01-01,2071151
1973-02-01,2098200
1973-03-01,2114354
1973-04-01,2132429
1973-05-01,2146805
1973-06-01,2164487
1973-07-01,2183729
1973-08-01,2193503
1973-09-01,2214487
1973-10-01,2235040
1973-11-01,2260733
1973-12-01,2273783
1974-01-01,2282391
1974-02-01,2295452
1974-03-01,2306681
1974-04-01,2320669
1974-05-01,2351202
1974-06-01,2373245
1974-07-01,2385368
1974-08-01,2403639
1974-09-01,2423025
1974-10-01,2439209
1974-11-01,2420078
1974-12-01,2417175
1975-01-01,2416312
1975-02-01,2405273
1975-03-01,2411539
1975-04-01,2412266
1975-05-01,2434546
1975-06-01,2452907
1975-07-01,2465978
1975-08-01,2506684
1975-09-01,2525145
1975-10-01,2551203
1975-11-01,2576619
1975-12-01,2600100
1976-01-01,2639430
1976-02-01,2661357
1976-03-01,2676068
1976-04-01,2697771
1976-05-01,2721261
1976-06-01,2729916
1976-07-01,2752217
1976-08-01,2780745
1976-09-01,2796998
1976-10-01,2810593
1976-11-01,2845586
1976-12-01,2868559
1977-01-01,2871647
1977-02-01,2908920
1977-03-01,2938854
1977-04-01,2970813
1977-05-01,3009314
1977-06-01,3040138
1977-07-01,3066351
1977-08-01,3084461
1977-09-01,3120426
1977-10-01,3159677
1977-11-01,3183237
1977-12-01,3205277
1978-01-01,3222722
1978-02-01,3257976
1978-03-01,3309355
1978-04-01,3366434
1978-05-01,3389589
1978-06-01,3433475
1978-07-01,3466028
1978-08-01,3491719
1978-09-01,3527985
1978-10-01,3576129
1978-11-01,3609511
1978-12-01,3649315
1979-01-01,3680634
1979-02-01,3716155
1979-03-01,3762085
1979-04-01,3761325
1979-05-01,3798917
1979-06-01,3843521
1979-07-01,3878502
1979-08-01,3902347
1979-09-01,3941296
1979-10-01,3964658
1979-11-01,4000359
1979-12-01,4044124
1980-01-01,4065174
1980-02-01,4100860
1980-03-01,4141734
1980-04-01,4145072
1980-05-01,4142219
1980-06-01,4163825
1980-07-01,4168678
1980-08-01,4225259
1980-09-01,4267954
1980-10-01,4331544
1980-11-01,4392265
1980-12-01,4432903
1981-01-01,4476557
1981-02-01,4497113
1981-03-01,4536018
1981-04-01,4567011
1981-05-01,4591172
1981-06-01,4627037
1981-07-01,4659723
1981-08-01,4708421
1981-09-01,4719214
1981-10-01,4740400
1981-11-01,4756242
1981-12-01,4748856
1982-01-01,4773218
1982-02-01,4800998
1982-03-01,4801101
1982-04-01,4799771
1982-05-01,4837382
1982-06-01,4845764
1982-07-01,4859105
1982-08-01,4872474
1982-09-01,4862004
1982-10-01,4863879
1982-11-01,4870743
1982-12-01,4899773
1983-01-01,4930054
1983-02-01,4916807
1983-03-01,4950849
1983-04-01,4989657
1983-05-01,5037226
1983-06-01,5077127
1983-07-01,5127480
1983-08-01,5136617
1983-09-01,5193258
1983-10-01,5281564
1983-11-01,5305317
1983-12-01,5350796
1984-01-01,5407742
1984-02-01,5445980
1984-03-01,5484186
1984-04-01,5553828
1984-05-01,5566529
1984-06-01,5623025
1984-07-01,5668241
1984-08-01,5689081
1984-09-01,5740117
1984-10-01,5748927
1984-11-01,5798599
1984-12-01,5851898
1985-01-01,5857248
1985-02-01,5878617
1985-03-01,5952073
1985-04-01,5939712
1985-05-01,5978941
1985-06-01,6035202
1985-07-01,6038603
1985-08-01,6081366
1985-09-01,6127941
1985-10-01,6167094
1985-11-01,6186459
1985-12-01,6258813
1986-01-01,6250023
1986-02-01,6271134
1986-03-01,6323040
1986-04-01,6304436
1986-05-01,6327407
1986-06-01,6357518
1986-07-01,6380737
1986-08-01,6422175
1986-09-01,6443440
1986-10-01,6502782
1986-11-01,6541600
1986-12-01,6559895
1987-01-01,6600656
1987-02-01,6655859
1987-03-01,6707609
1987-04-01,6717393
1987-05-01,6771164
1987-06-01,6796184
1987-07-01,6824380
1987-08-01,6907792
1987-09-01,6928141
1987-10-01,7001303
1987-11-01,7050007
1987-12-01,7153894
1988-01-01,7122797
1988-02-01,7176624
1988-03-01,7227220
1988-04-01,7299181
1988-05-01,7335079
1988-06-01,7392371
1988-07-01,7449249
1988-08-01,7450200
1988-09-01,7500777
1988-10-01,7600313
1988-11-01,7586980
1988-12-01,7629690
1989-01-01,7688162
1989-02-01,7682750
1989-03-01,7734016
1989-04-01,7771212
1989-05-01,7735885
1989-06-01,7770799
1989-07-01,7833292
1989-08-01,7821605
1989-09-01,7861353
1989-10-01,7957866
1989-11-01,7952585
1989-12-01,7986025
1990-01-01,8024694
1990-02-01,8115875
1990-03-01,8175103
1990-04-01,8248246
1990-05-01,8240472
1990-06-01,8298504
1990-07-01,8350012
1990-08-01,8322600
1990-09-01,8377049
1990-10-01,8328031
1990-11-01,8327954
1990-12-01,8390064
1991-01-01,8335696
1991-02-01,8324901
1991-03-01,8335101
1991-04-01,8360457
1991-05-01,8395348
1991-06-01,8485469
1991-07-01,8453609
1991-08-01,8491680
1991-09-01,8554493
1991-10-01,8533059
1991-11-01,8571754
1991-12-01,8655639
1992-01-01,8668401
1992-02-01,8773098
1992-03-01,8799800
1992-04-01,8818965
1992-05-01,8873845
1992-06-01,8908232
1992-07-01,8918545
1992-08-01,8974892
1992-09-01,8922683
1992-10-01,8829035
1992-11-01,8895105
1992-12-01,9529299
1993-01-01,8986300
1993-02-01,9074416
1993-03-01,9037040
1993-04-01,9201683
1993-05-01,9228992
1993-06-01,9188860
1993-07-01,9257235
1993-08-01,9319931
1993-09-01,9284509
1993-10-01,9237012
1993-11-01,9255587
1993-12-01,9843280
1994-01-01,9428335
1994-02-01,9442595
1994-03-01,9506674
1994-04-01,9658592
1994-05-01,9697770
1994-06-01,9692196
1994-07-01,9757188
1994-08-01,9779946
