Year,Month,PCE,I_NS,I_ES,I_RS,I_chPI,X,IM,G,PGDP,GDP_nominal,GDP_real
1994,8,4772.4552356292415,187.75814012368764,544.680398201925,320.0162393940157,49.58174368240026,737.3847004196214,834.241279314664,1426.4114610561885,75.09438171500034,7204.046639192415,9593.323061814868
1994,9,4799.771974351173,188.73485063712036,552.2383399294754,319.2282824210529,52.81867896565662,745.0278778084062,843.8874195595394,1428.3044950884605,75.22963214906783,7242.237079641805,9626.841010323276
1994,10,4828.9625562936935,190.9112865973033,561.8130513795179,319.1778326669919,69.08766175611883,751.1519501280195,852.1399100314246,1423.668053353608,75.33057088886854,7292.6324821438275,9680.840588480722
1994,11,4849.726545835304,193.33681241877568,571.5774809675154,319.06063946389736,77.80212609533595,758.3075393608707,860.5537819301801,1422.9681839412403,75.43547079616091,7332.225546152758,9719.864499773112
1994,12,4862.910897871001,195.95190098392104,581.4094676529669,318.7615278691108,78.41021214854517,766.3405105111095,869.1063080383955,1425.9637627051525,75.54495831497053,7360.641971703411,9743.39272385934
1995,1,4867.953860595852,198.72363200067775,591.2311091042702,318.16392904476146,70.00046636795577,775.3020623760824,877.9441259971253,1433.2241323707556,75.66126862664304,7376.6550658632295,9749.578879339126
1995,2,4880.863667760828,201.26817784751495,597.4298068477855,315.8692118599849,61.26901455207537,782.2011888016166,886.9191453674741,1440.162429511158,75.79353939126668,7392.14435181349,9753.00060029292
1995,3,4901.08247164332,203.60819015180732,600.2390840479443,312.1668590952537,52.330519079968866,787.2967488223011,895.8367286354005,1446.6134381180864,75.93919198209026,7407.500582323282,9754.515934367973
1995,4,4929.493660203511,205.73515253527316,599.3886860446909,307.0096126997143,43.510685909516916,790.5172590335135,904.6770914116003,1452.378413453339,76.09870966210266,7423.356378467958,9754.90440170342
1995,5,4955.738654190111,207.51658064086038,598.6427085754375,305.948212078884,33.964922473348174,797.7136530269477,909.5404683390077,1456.1970626865696,76.23355865447198,7446.181325333151,9767.58983413448
1995,6,4979.767685606378,208.94826682386656,598.0686053798715,308.64217522140154,23.924391617134905,808.4690879395384,910.6824402493916,1458.2245238600908,76.34573168342534,7475.36229619889,9791.46067680139
1995,7,5001.029189168295,210.00253605089856,597.8481704105358,315.4258475741519,13.21915016880652,823.1217351938456,907.7726513191767,1458.3192962739915,76.43296485339155,7511.193273521349,9827.164611406613
1995,8,5020.868584228043,210.47457142684422,599.917109528269,320.60683842247846,9.679284986895652,832.9248804719623,905.5344687322198,1457.539245440421,76.52830342025422,7546.476045772693,9861.026193578753
1995,9,5039.602226603661,210.42289252225734,604.0347200611951,324.26731400336973,11.001564844297837,838.1533843341921,904.0928799486031,1456.0414582855876,76.63173172635422,7579.430680705957,9890.720867135688
1995,10,5057.201699198422,209.82356824700932,610.329945615343,326.0911522753041,18.453584880692738,838.2973621200681,903.7282001855788,1453.843742298453,76.74439948033533,7610.312854449714,9916.44068620245
1995,11,5077.135490493213,209.96751721028102,615.6896352688921,328.1760176279198,20.305227467281362,839.1455123157344,907.8577432577966,1454.738351157389,76.86526592831913,7637.300008282913,9935.957309254734
1995,12,5099.362810308365,210.8089145427096,620.1804191157651,330.6328300967762,16.441187652025903,840.7571255641975,916.0140565566248,1458.5179065441584,76.99433459134553,7660.687137267374,9949.67639882489
